,entropy,mean_intensity,std_deviation,fractal_dimension,skewness,kurtosis,uniformity,relative_smoothness
2023-01-09 19:30:00,4.446138839114689,121.25924110412598,79.56865952647418,1.2825108666656255,-0.8491701047112156,-1.2437505881056266,0.09695515691601031,0.9998420762944356
2023-01-09 21:00:00,4.453418792990194,121.25349521636963,79.5731553253087,1.2768812121891995,-0.8488077665641462,-1.244164699418855,0.09667565764357278,0.9998420941361573
2023-01-09 22:30:00,4.461088923750548,121.2399730682373,79.58152766164284,1.2771919051756189,-0.8480857494972426,-1.2447387958986709,0.09666206861038518,0.9998421273539855
2023-01-10 00:00:00,4.4663438978192955,121.2125768661499,79.59164086220468,1.2784782743458898,-0.8472942392173805,-1.2460066736951105,0.09655651132561616,0.9998421674648389
2023-01-10 01:30:00,4.465323626513901,121.18709373474121,79.60080188160975,1.2769470816209139,-0.8466301419669818,-1.247289890762652,0.09663423861820775,0.9998422037859697
2023-01-10 03:00:00,4.4628376125027955,121.16203689575195,79.61008020530839,1.2779827097054564,-0.8459498320996894,-1.2484998637534974,0.0967031136933656,0.9998422405594052
2023-01-10 04:30:00,4.45597548618305,121.13614654541016,79.6191151342303,1.2826195789125105,-0.8453991512564802,-1.249758914341662,0.0970750156466238,0.9998422763558257
2023-01-10 06:00:00,4.452184510037925,121.12004089355469,79.62795492951884,1.2793918588466773,-0.8449420914504808,-1.2507239177943401,0.0971518111145997,0.9998423113673363
2023-01-10 07:30:00,4.444862124770901,121.11008644104004,79.62499018048814,1.2826407389416243,-0.8450478040071426,-1.2510211330024912,0.09729252115539566,0.9998422996262435
2023-01-10 09:00:00,4.440947969409571,121.10801029205322,79.62030835951221,1.276732816544148,-0.8452653290488052,-1.2508179400343276,0.0974047314721247,0.9998422810824777
2023-01-10 10:30:00,4.443657674596705,121.11738395690918,79.6108499268129,1.2833976762428119,-0.845679597085753,-1.250118730305885,0.09726822359698417,0.9998422436095193
2023-01-10 12:00:00,4.454086070119595,121.13710594177246,79.6041961083134,1.280777190823765,-0.8460597696381204,-1.2490851838108386,0.09694928573480865,0.9998422172400393
2023-01-10 13:30:00,4.459293768628331,121.16228675842285,79.59169882365472,1.282055797271813,-0.846789782805525,-1.2477184406640038,0.096650955701989,0.9998421676946808
2023-01-10 15:00:00,4.457624714375506,121.1874532699585,79.58027115657907,1.2785814271714724,-0.8476010748549239,-1.2464599960784157,0.09659050933441904,0.9998421223693825
2023-01-10 16:30:00,4.448425655708308,121.21411895751953,79.56574666372391,1.2811884889787457,-0.8486772750478839,-1.2450621825795665,0.09677373921476828,0.9998420647330322
